QuestionID	originalQuestionID	totalPossiblePoint	AnswerKey	isMultipleChoiceQuestion	includesDiagram	examName	schoolGrade	subject	category	focusVerified	year	knowledgetype	topic	explanation	question	notes	explanation annotators	flags	FocusNotes			FocusNotes
Mercury_414370	414370	1	A	1	0	Mercury	6		Train		2015		FOR_MECH_SIMPLEMACHINES	067f-0562-bc35-3e28|CENTRAL	Which action involving a pulley system requires the least amount of force? (A) using several pulleys together instead of a single pulley (B) using a fixed pulley instead of a moveable pulley (C) pulling a long rope instead of a short rope (D) pulling a rope up instead of down			READY	Easy
Mercury_7132195	7132195	1	D	1	0	Mercury	7		Train		2015		FOR_MECH_SIMPLEMACHINES	7f2c-ec1b-0791-4c0d|GROUNDING 6a06-adba-0ffc-0d17|CENTRAL 1eeb-cbfa-62a3-3ae7|GROUNDING a285-3dc7-d34b-9971|CENTRAL 1a70-2ddd-7f85-17ae|LEXGLUE e9f8-f0c7-07ec-99de|LEXGLUE	Which simple machine increases the distance over which a load travels and reduces the needed force? (A) wheel and axle (B) wedge (C) pulley (D) inclined plane			READY	Challenge
Mercury_7187775	7187775	1	B	1	0	Mercury	7		Train		2015		FOR_MOTPROB	b753-a285-8304-024a|CENTRAL 99c3-c8ef-6a85-8d37|LEXGLUE	Franklin wants to know how fast he runs different distances. He uses a stopwatch to measure the time it takes him to complete a 50-meter, 100-meter, and 200-meter race. How can he calculate his speed for each race? (A) Add the distances and the times. (B) Divide the distances by the times. (C) Multiply the distances by the times. (D) Subtract the distances from the times.			READY	Challenge
MCAS_2006_9_4-v1	4	1	B	1	0	MCAS	9		Train		2006		FOR_NEWTON_1ST	78bb-6c70-bd70-c323|CENTRAL	The tendency of a stationary object to resist being put into motion is known as (A) acceleration. (B) inertia. (C) weight. (D) velocity.			SUCCESS	Easy
Mercury_7077700	7077700	1	C	1	0	Mercury	7		Train		2015		FOR_NEWTON_1ST	4f1c-fdbd-a02d-6f1c|CENTRAL 5da3-b9b2-ace6-b331|LEXGLUE 95d6-33c8-ca3e-3bd5|LEXGLUE f3e2-6d60-0293-35e4|GROUNDING 3b87-aadd-6723-ddc5|LEXGLUE	If a book sitting on a flat table starts to move horizontally, it is most likely moving because (A) a balanced force is being applied. (B) a frictional force is being exerted. (C) an unbalanced force is being applied. (D) a gravitational force is being exerted.			READY	Challenge
Mercury_7083808	7083808	1	D	1	0	Mercury	7		Train		2015		FOR_NEWTON_3RD	0b18-9084-cedf-4d5f|CENTRAL	When two unequal forces act in opposite directions on a moving object, the object will (A) absorb the forces. (B) come to an immediate stop. (C) continue to move in the same direction. (D) move in the same direction as the larger force.			READY	Challenge
Mercury_7082810	7082810	1	A	1	0	Mercury	7		Train		2015		FOR_NEWTON_3RD	587b-cf2b-5466-f25a|CENTRAL df45-5420-eef2-9250|LEXGLUE 087a-a7db-0119-7b14|CENTRAL 098d-fb47-d982-7a36|GROUNDING f812-6a9e-6359-6c72|GROUNDING 78bb-1a9c-dc5f-468b|LEXGLUE 8ff0-cc75-85e7-9364|LEXGLUE 5650-b213-46ea-d9dd|GROUNDING 268d-a671-9d83-031a|GROUNDING	A bowling ball sitting motionless on a table exerts a downward force on the table. The force exerted by the table must be (A) equal to the force of the ball. (B) continually changing with the ball. (C) greater than the force of the ball. (D) less than the force of the ball.			READY	Challenge
MCAS_2004_9_12	12	1	C	1	0	MCAS	9		Train		2004		FOR_POWER	d4b6-22d9-09f5-c87d|CENTRAL a6f3-a229-98a1-6245|GROUNDING 19f5-4162-4c01-59aa|LEXGLUE dcd4-5303-c509-88ec|LEXGLUE 0d30-e95c-b29a-8b17|GROUNDING	At a weightlifting competition, two competitors lifted the same weight to the same height. The second competitor accomplished the lift 2 seconds faster than the first competitor. This demonstrated that the second competitor had more (A) energy than the first. (B) inertia than the first. (C) power than the first. (D) work than the first.			SUCCESS	Easy
Mercury_7133840	7133840	1	B	1	0	Mercury	7		Train		2015		FOR_PRESSURE	af1a-348d-eec7-2eb8|GROUNDING ae1c-e111-1ba1-dd20|LEXGLUE c06c-117e-c8e2-2750|GROUNDING fbf6-07d5-1a14-fd9e|LEXGLUE 1236-e177-9ba1-f9ad|GROUNDING 8d53-4809-838b-d599|CENTRAL	Pedro shook a can of soda. When the soda was opened, foam and soda burst from the can. Which statement best explains what happened? (A) A new substance was formed. (B) The gas pressure was released from the can. (C) The sugar in the soda turned into a gas. (D) The can absorbed heat from the air.		EW	READY	Easy
Mercury_SC_408364	408364	1	C	1	0	Mercury	5		Train		2015		FOR_VELOCITY	87c6-f5c1-2d8f-e14a|CENTRAL 5a08-2415-0853-06c5|LEXGLUE	Tim and Carla play catch with a ball. Which term describes the motion of a ball? (A) shape (B) size (C) speed (D) weight		EW	SUCCESS	Easy
